Units,Millimeter,,,,
LocalizedCategoryId,3,,,,
Designation,Class,Minor Diameter Min,Minor Diameter Max,Major Diameter Min,Threads per Inch or Thread Pitch
M24x1,6H,22.917,23.153,24.000,1
M24x0.75,6H,23.188,23.378,24.000,0.75
M25x2,6H,22.835,23.210,25.000,2
M25x1.5,6H,23.376,23.676,25.000,1.5
M25x1,6H,23.917,24.153,25.000,1
M26x1.5,6H,24.376,24.676,26.000,1.5
M27x3,6H,23.752,24.252,27.000,3
M27x2,6H,24.835,25.210,27.000,2
M27x1.5,6H,25.376,25.676,27.000,1.5
M27x1,6H,25.917,26.153,27.000,1
M27x0.75,6H,26.188,26.378,27.000,0.75
M28x2,6H,25.835,26.210,28.000,2
M28x1.5,6H,26.376,26.676,28.000,1.5
M28x1,6H,26.917,27.153,28.000,1
M30x3.5,6H,26.211,26.771,30.000,3.5
M30x3,6H,26.752,27.252,30.000,3
M30x2.5,6H,27.294,27.744,30.000,2.5
M30x2,6H,27.835,28.210,30.000,2
M30x1.5,6H,28.376,28.676,30.000,1.5
M30x1,6H,28.917,29.153,30.000,1
M30x0.75,6H,29.188,29.378,30.000,0.75
M32x2,6H,29.835,30.210,32.000,2
M32x1.5,6H,30.376,30.676,32.000,1.5
M33x3.5,6H,29.211,29.771,33.000,3.5
M33x3,6H,29.752,30.252,33.000,3
M33x2,6H,30.835,31.210,33.000,2
M33x1.5,6H,31.376,31.676,33.000,1.5
M33x1,6H,31.917,32.153,33.000,1
M33x0.75,6H,32.188,32.378,33.000,0.75
M35x1.5,6H,33.376,33.676,35.000,1.5
M36x4,6H,31.670,32.270,36.000,4
M36x3,6H,32.752,33.252,36.000,3
M36x2,6H,33.835,34.210,36.000,2
M36x1.5,6H,34.376,34.676,36.000,1.5
M36x1,6H,34.917,35.153,36.000,1
M38x1.5,6H,36.376,36.676,38.000,1.5
M39x4,6H,34.670,35.270,39.000,4
M39x3,6H,35.752,36.252,39.000,3
M39x2,6H,36.835,37.210,39.000,2
M39x1.5,6H,37.376,37.676,39.000,1.5
M39x1,6H,37.917,38.153,39.000,1
M40x3,6H,36.752,37.252,40.000,3
M40x2.5,6H,37.294,37.744,40.000,2.5
M40x2,6H,37.835,38.210,40.000,2
M40x1.5,6H,38.376,38.676,40.000,1.5
M42x4.5,6H,37.129,37.799,42.000,4.5
M42x4,6H,37.670,38.270,42.000,4
M42x3,6H,38.752,39.252,42.000,3
M42x2,6H,39.835,40.210,42.000,2
M42x1.5,6H,40.376,40.676,42.000,1.5
M42x1,6H,40.917,41.153,42.000,1
M45x4.5,6H,40.129,40.799,45.000,4.5
M45x4,6H,40.670,41.270,45.000,4
M45x3,6H,41.752,42.252,45.000,3
M45x2,6H,42.835,43.210,45.000,2
M45x1.5,6H,43.376,43.676,45.000,1.5
M45x1,6H,43.917,44.153,45.000,1
M48x5,6H,42.587,43.297,48.000,5
M48x4,6H,43.670,44.270,48.000,4
M48x3,6H,44.752,45.252,48.000,3
M48x2,6H,45.835,46.210,48.000,2
M48x1.5,6H,46.376,46.676,48.000,1.5
M50x4,6H,45.670,46.270,50.000,4
M50x3,6H,46.752,47.252,50.000,3
M50x2,6H,47.835,48.210,50.000,2
M50x1.5,6H,48.376,48.676,50.000,1.5
M52x5,6H,46.587,47.297,52.000,5
M52x4,6H,47.670,48.270,52.000,4
M52x3,6H,48.752,49.252,52.000,3
M52x2,6H,49.835,50.210,52.000,2
M52x1.5,6H,50.376,50.676,52.000,1.5
M55x4,6H,50.670,51.270,55.000,4
M55x3,6H,51.752,52.252,55.000,3
M55x2,6H,52.835,53.210,55.000,2
M55x1.5,6H,53.376,53.676,55.000,1.5
M56x6.5,6H,48.964,49.814,56.000,6.5
M56x5.5,6H,50.046,50.796,56.000,5.5
M56x4,6H,51.670,52.270,56.000,4
M56x3,6H,52.752,53.252,56.000,3
M56x2,6H,53.835,54.210,56.000,2
M56x1.5,6H,54.376,54.676,56.000,1.5
M56x1,6H,54.917,55.153,56.000,1
M58x4,6H,53.670,54.270,58.000,4
M58x3,6H,54.752,55.252,58.000,3
M58x2,6H,55.835,56.210,58.000,2
M58x1.5,6H,56.376,56.676,58.000,1.5
M60x5.5,6H,54.046,54.796,60.000,5.5
M60x4,6H,55.670,56.270,60.000,4
M60x3,6H,56.752,57.252,60.000,3
M60x2,6H,57.835,58.210,60.000,2
M60x1.5,6H,58.376,58.676,60.000,1.5
M60x1,6H,58.917,59.153,60.000,1
M62x4,6H,57.670,58.270,62.000,4
M62x3,6H,58.752,59.252,62.000,3
M62x2,6H,59.835,60.210,62.000,2
M62x1.5,6H,60.376,60.676,62.000,1.5
M63x1.5,6H,61.376,61.676,63.000,1.5
M64x6,6H,57.505,58.305,64.000,6
M64x5.5,6H,58.046,58.796,64.000,5.5
M64x4,6H,59.670,60.270,64.000,4
M64x3,6H,60.752,61.252,64.000,3
M64x2,6H,61.835,62.210,64.000,2
M64x1.5,6H,62.376,62.676,64.000,1.5
M64x1,6H,62.917,63.153,64.000,1
M65x4,6H,60.670,61.270,65.000,4
M65x3,6H,61.752,62.252,65.000,3
M65x2,6H,62.835,63.210,65.000,2
M65x1.5,6H,63.376,63.676,65.000,1.5
M68x6,6H,61.505,62.305,68.000,6
M68x4,6H,63.670,64.270,68.000,4
M68x3,6H,64.752,65.252,68.000,3
M68x2,6H,65.835,66.210,68.000,2
M68x1.5,6H,66.376,66.676,68.000,1.5
M68x1,6H,66.917,67.153,68.000,1
M70x6,6H,63.505,64.305,70.000,6
M70x4,6H,65.670,66.270,70.000,4
M70x3,6H,66.752,67.252,70.000,3
M70x2,6H,67.835,68.210,70.000,2
M70x1.5,6H,68.376,68.676,70.000,1.5
M72x6,6H,65.505,66.305,72.000,6
M72x4,6H,67.670,68.270,72.000,4
M72x3,6H,68.752,69.252,72.000,3
M72x2,6H,69.835,70.210,72.000,2
M72x1.5,6H,70.376,70.676,72.000,1.5
M72x1,6H,70.917,71.153,72.000,1
M75x6,6H,68.505,69.305,75.000,6
M75x4,6H,70.670,71.270,75.000,4
M75x3,6H,71.752,72.252,75.000,3
M75x2,6H,72.835,73.210,75.000,2
M75x1.5,6H,73.376,73.676,75.000,1.5
M76x6,6H,69.505,70.305,76.000,6
M76x4,6H,71.670,72.270,76.000,4
M76x3,6H,72.752,73.252,76.000,3
M76x2,6H,73.835,74.210,76.000,2
M76x1.5,6H,74.376,74.676,76.000,1.5
M76x1,6H,74.917,75.153,76.000,1
M78x2,6H,75.835,76.210,78.000,2
M80x6,6H,73.505,74.305,80.000,6
M80x4,6H,75.670,76.270,80.000,4
M80x3,6H,76.752,77.252,80.000,3
